Ubicación,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
HOTEL/MOTEL,28,2013.9285714285713,2012,2016,2.365079365079267,1.5378814535195056,2013,-1.5192313582547692,28,7.428571428571429,1,12,11.66137566137566,3.4148756436180308,Agosto,-0.8614201635598144,28,14.285714285714286,1,29,72.95238095238096,8.541216596737316,11,-1.061722272709873,28,13.5,0,23,42.851851851851855,6.5461325874024165,7,-0.9990509995812653,28,
JAIL / LOCK-UP FACILITY,2,2015.0,2015,2015,0.0,0.0,2015,,2,5.0,1,9,32.0,5.656854249492381,,,2,9.0,5,13,32.0,5.656854249492381,No hay moda,,2,11.0,2,20,162.0,12.727922061357855,No hay moda,,2,
LAKEFRONT/WATERFRONT/RIVERBANK,1,2013.0,2013,2013,,,No hay moda,,1,7.0,7,7,,,,,1,17.0,17,17,,,No hay moda,,1,5.0,5,5,,,No hay moda,,1,
LIBRARY,6,2013.6666666666667,2012,2015,1.4666666666667083,1.2110601416390139,2013,-1.5495867768594618,6,9.0,2,12,16.8,4.09878030638384,Noviembre,0.38690476190476186,6,14.0,2,29,132.4,11.50651989091402,No hay moda,-2.1461788410109435,6,15.0,13,20,8.4,2.898275349237888,13,0.5952380952380949,6,
MEDICAL/DENTAL OFFICE,4,2013.0,2012,2014,0.6666666666666666,0.816496580927726,2013,1.5,4,4.0,1,7,6.0,2.449489742783178,Abril,1.5,4,18.75,10,31,110.25,10.5,10,-3.901234567901234,4,11.5,9,14,5.666666666666667,2.3804761428476167,No hay moda,-4.339100346020761,4,
NURSING HOME/RETIREMENT HOME,22,2014.090909090909,2012,2016,1.896103896103905,1.3769908845391479,2015,-0.983917195879668,22,7.409090909090909,1,12,8.062770562770561,2.8395018159477483,Agosto,0.1305205775937086,22,13.590909090909092,1,30,97.3008658008658,9.864120122994539,3,-1.488736623174522,22,14.454545454545455,2,21,25.68831168831169,5.06836380780935,16,0.01576187511834748,22,
OTHER,270,2013.9777777777779,2012,2016,1.96976456009921,1.4034830102638258,2015,-1.2724870554064365,270,6.803703703703704,1,12,10.894410023406301,3.3006681177310604,Julio,-0.9760044232917311,270,14.818518518518518,1,31,78.74389370783425,8.87377561739276,1,-1.0520094611079895,270,13.281481481481482,0,23,31.99482307586397,5.656396651213913,12,-0.175629340041779,270,
OTHER COMMERCIAL TRANSPORTATION,2,2015.5,2015,2016,0.5,0.7071067811865476,No hay moda,,2,6.0,1,11,50.0,7.0710678118654755,,,2,3.5,1,6,12.5,3.5355339059327378,No hay moda,,2,17.5,14,21,24.5,4.949747468305833,No hay moda,,2,
OTHER RAILROAD PROP / TRAIN DEPOT,7,2014.0,2012,2016,2.3333333333333237,1.5275252316519434,2012,-1.1142857142857148,7,4.285714285714286,1,9,8.238095238095239,2.870208222079931,Enero,-0.31897490728056344,7,11.142857142857142,1,22,55.80952380952382,7.470577207252718,No hay moda,-1.1101509627368982,7,15.857142857142858,3,22,41.8095238095238,6.466028441750299,14,2.500067973910472,7,
PARK PROPERTY,57,2013.6315789473683,2012,2016,2.1654135338347196,1.471534414763963,2012,-1.2089208418091768,57,6.771929824561403,1,12,5.8577694235589,2.42028292221362,Junio,0.03796513151641978,57,15.350877192982455,1,29,65.44611528822055,8.089877334559564,8,-1.1136168800334594,57,15.929824561403509,0,23,23.423558897243108,4.839789137683904,18,2.61975160976161,57,
PARKING LOT,1,2016.0,2016,2016,,,No hay moda,,1,9.0,9,9,,,,,1,12.0,12,12,,,No hay moda,,1,2.0,2,2,,,No hay moda,,1,
PARKING LOT/GARAGE(NON.RESID.),210,2013.942857142857,2012,2016,1.9775803144226347,1.4062646672737797,2015,-1.3072524229694493,210,6.223809523809524,1,12,9.944884939621792,3.1535511633112585,Abril,-0.9460775480598222,210,15.485714285714286,1,31,64.39453178400551,8.024620351393922,12,-1.0171139327143361,210,13.871428571428572,0,23,35.96903622693094,5.997419130503632,15,-0.2345031259701762,210,
PAWN SHOP,1,2015.0,2015,2015,,,No hay moda,,1,8.0,8,8,,,,,1,18.0,18,18,,,No hay moda,,1,15.0,15,15,,,No hay moda,,1,
POLICE FACILITY/VEH PARKING LOT,14,2013.857142857143,2012,2016,2.2857142857142936,1.5118578920369115,2013,-1.3928103146853497,14,6.214285714285714,1,11,14.489010989010989,3.806443351609346,Febrero,-1.7152667201706788,14,12.0,1,30,88.15384615384616,9.389027966400258,1,-0.722753147549617,14,12.214285714285714,0,21,57.25824175824175,7.566917586325475,0,-1.3057213739644893,14,
PORCH,1,2013.0,2013,2013,,,No hay moda,,1,5.0,5,5,,,,,1,30.0,30,30,,,No hay moda,,1,6.0,6,6,,,No hay moda,,1,
RESIDENCE,1155,2013.830303030303,2012,2016,1.9729110866025892,1.40460353360035,2012,-1.2803055862946098,1155,6.47012987012987,1,12,11.660068873933682,3.414684300771256,Abril,-1.1865428206655442,1155,15.381818181818181,1,31,78.74576965495496,8.873881318507419,5,-1.2023675806324479,1155,12.078787878787878,0,23,41.89413371146481,6.472567783458494,12,-0.8535881200326632,1155,
RESIDENCE PORCH/HALLWAY,116,2014.0689655172414,2012,2016,1.7865067466267441,1.3366026883957491,2014,-1.1097197427486876,116,6.612068965517241,1,12,9.961244377811088,3.1561439095534105,Julio,-0.9684069364989747,116,16.71551724137931,1,31,88.2748875562219,9.395471651610785,30,-1.297987438177165,116,13.318965517241379,0,23,39.5756371814093,6.290917038191594,14,-0.5300658786474712,116,
RESIDENCE-GARAGE,114,2013.8070175438597,2012,2016,2.1748175749106236,1.4747262711807312,2012,-1.3359307532510032,114,6.5964912280701755,1,12,11.322465455674587,3.3648871386236103,Marzo,-1.144885707404085,114,16.92982456140351,1,31,77.55255395124982,8.806392788835268,17,-1.1080157910543091,114,12.789473684210526,0,23,48.39776432231018,6.956850172478216,17,-1.0859667936023598,114,
RESIDENTIAL YARD (FRONT/BACK),147,2013.8775510204082,2012,2016,2.286273413474984,1.5120427948556827,2012,-1.4396141169587247,147,7.122448979591836,1,12,8.32736930388594,2.88571816085458,Julio,-0.6151948352249494,147,15.564625850340136,1,31,79.58997297549159,8.921321257274148,4,-1.1882130586830835,147,12.986394557823129,0,23,49.90392321312086,7.064270890411895,15,-0.9023794333435879,147,
RESTAURANT,106,2014.0849056603774,2012,2016,1.849865229110447,1.3600975072069086,2014,-1.1775168879627351,106,6.5,1,12,10.404761904761907,3.2256413168177747,Agosto,-1.0392207743339048,106,15.632075471698114,1,31,85.05381850853547,9.222462713859866,30,-1.2412750591310726,106,13.462264150943396,0,23,50.022371967655005,7.072649571953569,12,-0.8774869930340081,106,
SAVINGS AND LOAN,1,2015.0,2015,2015,,,No hay moda,,1,8.0,8,8,,,,,1,14.0,14,14,,,No hay moda,,1,13.0,13,13,,,No hay moda,,1,
"SCHOOL, PRIVATE, BUILDING",16,2014.1875,2012,2016,1.7624999999999438,1.3275918047351543,2014,-0.9541165539354766,16,6.125,1,11,10.116666666666667,3.1806707887907337,Septiembre,-1.4159909229240402,16,14.4375,1,31,94.39583333333333,9.715751815136764,4,-1.0578485539277915,16,12.0,0,21,22.66666666666667,4.760952285695234,13,2.4703943115707823,16,
"SCHOOL, PRIVATE, GROUNDS",6,2014.5,2012,2016,2.3000000000000567,1.5165750888103289,2014,0.2835538752362945,6,7.166666666666667,2,12,16.166666666666664,4.020779360604939,Octubre,-2.206270591986396,6,7.666666666666667,1,20,43.46666666666667,6.592925501373928,8,3.1400551394482257,6,13.333333333333334,10,15,3.4666666666666672,1.8618986725025257,13,1.852810650887582,6,
"SCHOOL, PUBLIC, BUILDING",119,2013.8067226890757,2012,2016,1.6657171343114376,1.2906266440421248,2015,-1.1364101846733983,119,5.92436974789916,1,12,11.765418031619426,3.4300755139820795,Marzo,-1.292455675288844,119,14.554621848739496,1,31,77.84233015239992,8.822830053469234,5,-1.1516441163222724,119,11.61344537815126,0,22,9.984902435550495,3.159889623950573,11,1.4541177519387243,119,
